service_date,time_period,route_or_line,gated_entries
2017-10-01,(18:00:00),Green Line,2592.57
2020-10-07,(12:30:00),Green Line,383.23
2021-10-21,(05:30:00),Green Line,174.12
2021-04-14,(16:00:00),Blue Line,823.5
2020-05-13,(05:00:00),Blue Line,247.3
2020-10-16,(10:30:00),Silver Line,23.0
2014-09-13,(11:30:00),Orange Line,3085.83
2014-09-16,(11:30:00),Blue Line,814.6
2016-07-02,(23:30:00),Silver Line,85.8
2018-03-17,(08:00:00),Silver Line,42.3
2021-03-24,(08:30:00),Red Line,1435.13
2021-11-18,(07:00:00),Orange Line,3296.4
2019-04-11,(07:30:00),Green Line,2131.18
2021-10-02,(17:00:00),Blue Line,738.7
2022-02-05,(07:30:00),Blue Line,489.6
2017-12-11,(00:00:00),Orange Line,406.02
2014-10-04,(00:30:00),Red Line,871.81
2019-07-01,(03:30:00),Red Line,2.0
2019-09-06,(07:30:00),Silver Line,295.5
2015-07-20,(05:00:00),Orange Line,1182.01
2018-10-17,(21:30:00),Green Line,1322.96
2019-04-11,(08:00:00),Blue Line,3432.5
2015-09-06,(06:00:00),Green Line,187.72
2014-08-09,(18:00:00),Silver Line,378.4
2021-04-19,(01:30:00),Orange Line,11.11
2020-10-11,(23:00:00),Red Line,315.96
2019-02-17,(23:30:00),Silver Line,53.6
2021-01-26,(18:30:00),Blue Line,216.0
2016-10-12,(15:00:00),Green Line,2636.12
2019-01-30,(13:00:00),Blue Line,994.9
2018-09-03,(23:00:00),Blue Line,462.0
2014-08-05,(05:30:00),Red Line,2534.19
2018-06-19,(14:30:00),Blue Line,1648.9
2018-12-11,(18:00:00),Silver Line,809.7
2018-09-12,(07:30:00),Orange Line,8823.52
2016-07-17,(00:00:00),Green Line,412.12
2016-02-29,(10:00:00),Silver Line,107.2
2018-01-04,(11:30:00),Green Line,486.62
2022-01-02,(17:00:00),Blue Line,394.6
2021-09-18,(18:30:00),Orange Line,1784.93
2019-10-20,(20:00:00),Red Line,1445.06
2015-12-29,(20:00:00),Silver Line,117.7
2016-05-14,(22:00:00),Silver Line,103.5
2018-01-10,(03:00:00),Orange Line,1.02
2020-12-21,(10:00:00),Orange Line,790.89
2018-12-24,(06:00:00),Green Line,293.77
2019-06-02,(16:30:00),Blue Line,647.6
2016-08-18,(13:30:00),Red Line,3840.56
2018-05-10,(04:00:00),Red Line,4.4
2017-08-16,(23:00:00),Blue Line,602.6
2020-07-14,(11:00:00),Orange Line,650.7
2021-10-04,(22:00:00),Blue Line,287.4
2018-01-31,(13:30:00),Red Line,3321.25
2021-01-17,(17:00:00),Orange Line,713.05
2022-07-10,(05:30:00),Red Line,204.8
2022-07-12,(12:00:00),Orange Line,1487.24
2017-11-30,(05:00:00),Green Line,186.49
2018-05-10,(22:00:00),Orange Line,1742.73
2020-06-16,(09:00:00),Green Line,138.3
2018-01-18,(03:00:00),Red Line,1.0
2018-05-02,(21:30:00),Green Line,1835.47
2014-12-23,(16:30:00),Silver Line,714.7
2022-05-11,(12:00:00),Silver Line,71.9
2022-06-08,(22:30:00),Red Line,963.02
2017-10-18,(22:30:00),Silver Line,75.7
2017-05-14,(14:00:00),Silver Line,110.1
2019-10-06,(14:30:00),Blue Line,955.4
2020-01-05,(17:30:00),Blue Line,486.4
2017-07-27,(23:00:00),Red Line,1328.7
2019-09-05,(16:00:00),Red Line,8668.95
2015-09-25,(16:30:00),Red Line,11245.55
2020-09-01,(01:00:00),Green Line,19.69
2021-09-22,(05:30:00),Red Line,1351.08
2015-03-24,(13:30:00),Blue Line,880.8
2022-05-17,(21:00:00),Green Line,1112.6000000000001
2021-04-20,(18:00:00),Orange Line,1407.62
2019-07-26,(02:00:00),Orange Line,1.0
2020-10-11,(15:30:00),Red Line,1198.52
2020-11-07,(18:30:00),Silver Line,38.5
2014-05-14,(16:30:00),Silver Line,775.2
2018-09-04,(01:00:00),Silver Line,2.6
2018-01-26,(05:30:00),Silver Line,19.5
2021-11-01,(12:30:00),Orange Line,1487.54
2019-05-09,(04:00:00),Silver Line,3.3
2018-12-19,(07:30:00),Blue Line,2911.0
2021-06-15,(01:30:00),Silver Line,1.3
2020-03-23,(22:30:00),Blue Line,69.9
2020-02-20,(04:00:00),Red Line,5.0
2015-12-26,(02:00:00),Red Line,112.1
2018-03-12,(01:30:00),Red Line,16.0
2018-02-06,(02:30:00),Green Line,3.0
2018-02-23,(07:30:00),Silver Line,234.6
2021-11-19,(04:30:00),Silver Line,0.3
2015-06-03,(18:30:00),Blue Line,910.5
2018-07-18,(08:00:00),Green Line,2605.23
2015-01-28,(21:00:00),Red Line,2006.71
2021-11-08,(22:30:00),Orange Line,641.89
2014-12-09,(23:30:00),Blue Line,223.9
2014-09-01,(10:30:00),Red Line,2553.98
2022-01-30,(18:00:00),Red Line,554.44
2014-11-16,(14:30:00),Silver Line,181.4
2019-01-16,(09:30:00),Silver Line,135.7
2016-02-17,(15:00:00),Orange Line,5298.83
2021-03-19,(12:30:00),Green Line,500.23
2017-02-01,(05:30:00),Orange Line,1803.8899999999999
2015-07-07,(17:30:00),Silver Line,1003.1
2019-11-28,(15:00:00),Red Line,1262.92
2018-07-02,(19:00:00),Green Line,2121.43
2020-10-19,(13:30:00),Red Line,1174.68
2022-03-13,(13:00:00),Green Line,812.49
2015-11-21,(04:00:00),Blue Line,5.0
2021-03-03,(03:30:00),Green Line,3.0
2017-01-03,(00:30:00),Green Line,43.980000000000004
2020-03-03,(00:30:00),Silver Line,5.9
2016-01-19,(14:00:00),Green Line,1755.08
2021-03-08,(07:30:00),Red Line,1723.7
2014-10-17,(23:00:00),Silver Line,138.4
2020-09-05,(13:00:00),Silver Line,20.7
2018-10-10,(22:30:00),Silver Line,105.1
2021-09-23,(04:30:00),Orange Line,59.38
2019-09-04,(16:30:00),Red Line,9670.4
2018-11-13,(00:00:00),Silver Line,38.9
2019-08-21,(04:00:00),Red Line,8.67
2016-06-28,(08:30:00),Silver Line,404.7
2017-01-27,(22:30:00),Blue Line,513.5
2019-04-24,(23:30:00),Green Line,601.74
2016-06-21,(09:30:00),Red Line,4711.39
2020-04-03,(22:30:00),Orange Line,161.47
2014-02-05,(09:30:00),Silver Line,90.5
2021-07-17,(20:30:00),Silver Line,68.7
2016-02-10,(22:00:00),Orange Line,1944.32
2019-03-28,(05:00:00),Silver Line,4.1
2018-11-18,(19:00:00),Green Line,1456.29
2021-06-09,(00:00:00),Green Line,135.65
2022-01-11,(08:30:00),Orange Line,1420.94
2022-04-19,(06:30:00),Silver Line,112.6
2020-08-25,(14:30:00),Silver Line,64.0
2017-08-08,(20:30:00),Green Line,1564.39
2016-03-09,(20:30:00),Blue Line,469.0
2018-11-15,(19:00:00),Silver Line,505.4
2014-10-26,(10:30:00),Blue Line,806.9
2018-12-05,(21:00:00),Green Line,1486.18
2019-06-09,(08:00:00),Blue Line,642.7
2016-09-16,(20:30:00),Silver Line,259.0
2016-10-10,(11:00:00),Red Line,3564.77
2021-10-04,(06:00:00),Blue Line,1151.5
2018-01-06,(17:30:00),Blue Line,484.3
2015-06-14,(15:30:00),Red Line,3491.42
2014-07-24,(18:30:00),Red Line,6732.53
2020-12-10,(17:00:00),Green Line,813.94
2019-12-02,(15:30:00),Green Line,2631.05
2019-08-16,(18:00:00),Silver Line,455.8
2022-02-15,(17:30:00),Blue Line,668.6
2018-10-21,(19:00:00),Silver Line,86.2
2022-05-02,(15:30:00),Green Line,1283.49
2014-03-13,(08:30:00),Blue Line,2371.1
2021-01-23,(17:30:00),Orange Line,721.83
2019-11-18,(22:00:00),Silver Line,122.0
2021-06-06,(05:30:00),Blue Line,204.6
2020-04-16,(07:30:00),Green Line,120.36
2019-02-09,(09:00:00),Orange Line,1641.38
2018-07-14,(18:30:00),Silver Line,149.5
2021-01-03,(12:30:00),Blue Line,317.7
2015-03-12,(18:00:00),Blue Line,946.2
2014-12-28,(13:30:00),Green Line,1185.73
2019-06-24,(13:00:00),Silver Line,140.7
2022-04-09,(10:00:00),Red Line,1549.59
2016-08-10,(17:30:00),Silver Line,987.1
2021-04-18,(06:30:00),Red Line,324.97
2018-08-14,(21:30:00),Green Line,1204.52
2015-08-29,(06:30:00),Red Line,1007.6
2020-10-02,(11:00:00),Green Line,390.05
2020-06-04,(04:30:00),Silver Line,0.6
2017-11-09,(07:30:00),Blue Line,3200.7
2015-09-17,(05:30:00),Green Line,550.7
2021-07-25,(08:00:00),Silver Line,24.7
2021-03-07,(09:30:00),Silver Line,17.5
2014-02-15,(14:30:00),Green Line,2506.18
2016-05-10,(02:00:00),Orange Line,1.9
2017-09-07,(12:00:00),Silver Line,140.0
2017-12-13,(12:00:00),Orange Line,3011.5299999999997
2016-07-15,(11:00:00),Blue Line,991.3
2015-02-10,(11:30:00),Blue Line,3.0
2016-05-31,(17:00:00),Blue Line,2619.1
2020-07-11,(15:00:00),Red Line,977.9
2017-01-02,(12:00:00),Green Line,821.44
2020-01-22,(12:00:00),Silver Line,126.6
2020-03-01,(00:00:00),Green Line,240.57
2021-03-27,(09:00:00),Orange Line,577.73
2020-04-09,(20:00:00),Green Line,100.24
2020-08-27,(16:30:00),Orange Line,1560.11
2014-12-12,(08:30:00),Silver Line,325.1
2015-02-24,(19:30:00),Blue Line,447.9
2014-07-27,(08:00:00),Blue Line,733.7
2019-07-21,(01:30:00),Orange Line,22.15
2022-04-24,(12:00:00),Green Line,919.69
2015-07-23,(06:30:00),Red Line,6085.36
2019-12-07,(00:00:00),Red Line,96.09
2018-08-21,(11:30:00),Silver Line,147.7
2021-11-17,(06:30:00),Red Line,2765.0
2018-06-08,(08:00:00),Green Line,2101.67
2020-10-30,(00:00:00),Silver Line,34.8
